mode,grid_size,density,seed,algorithm,expansions,messages,path_len,rdt_ms,route_messages,wall_ms,optimal_hops
sparse,30,0.2,6,Dijkstra,713,1425,54,1.425,54,1.0730850044637918,54
sparse,30,0.2,6,A*,144,385,54,0.385,54,0.3226060071028769,54
sparse,30,0.2,6,QHR-V2X,144,385,54,0.385,54,7.549225992988795,54
sparse,30,0.2,7,Dijkstra,720,1439,58,1.439,58,1.1220989981666207,58
sparse,30,0.2,7,A*,73,203,58,0.203,58,0.16458099707961082,58
sparse,30,0.2,7,QHR-V2X,73,203,58,0.203,58,3.711389988893643,58
sparse,30,0.2,8,Dijkstra,718,1435,58,1.435,58,1.1933089990634471,58
sparse,30,0.2,8,A*,75,211,58,0.211,58,0.177898007677868,58
sparse,30,0.2,8,QHR-V2X,75,211,58,0.211,58,3.7905650096945465,58
sparse,30,0.2,9,Dijkstra,719,1437,58,1.437,58,1.0815809946507215,58
sparse,30,0.2,9,A*,153,407,58,0.40700000000000003,58,0.33463200088590384,58
sparse,30,0.2,9,QHR-V2X,153,407,58,0.40700000000000003,58,7.737416017334908,58
sparse,30,0.2,10,Dijkstra,720,1439,58,1.439,58,1.2691380106844008,58
sparse,30,0.2,10,A*,72,202,58,0.202,58,0.1739419822115451,58
sparse,30,0.2,10,QHR-V2X,72,202,58,0.202,58,3.9616590074729174,58
sparse,30,0.2,11,Dijkstra,717,1433,59,1.433,59,1.2296840141061693,59
sparse,30,0.2,11,A*,625,1506,59,1.506,59,1.6058159817475826,59
sparse,30,0.2,11,QHR-V2X,606,1464,59,1.464,59,32.00746898073703,59
sparse,30,0.2,12,Dijkstra,717,1433,58,1.433,58,1.084234012523666,58
sparse,30,0.2,12,A*,471,1192,58,1.192,58,1.0991219896823168,58
sparse,30,0.2,12,QHR-V2X,469,1189,58,1.189,58,23.916743986774236,58
sparse,30,0.2,13,Dijkstra,716,1431,58,1.431,58,1.0614829952828586,58
sparse,30,0.2,13,A*,129,349,58,0.34900000000000003,58,0.28415999258868396,58
sparse,30,0.2,13,QHR-V2X,129,349,58,0.34900000000000003,58,6.312601995887235,58
sparse,30,0.2,14,Dijkstra,716,1431,58,1.431,58,1.0623840207699686,58
sparse,30,0.2,14,A*,79,216,58,0.216,58,0.1740709994919598,58
sparse,30,0.2,14,QHR-V2X,79,216,58,0.216,58,3.723041998455301,58
sparse,30,0.2,15,Dijkstra,719,1437,58,1.437,58,1.0742069862317294,58
sparse,30,0.2,15,A*,101,279,58,0.279,58,0.2274590078741312,58
sparse,30,0.2,15,QHR-V2X,101,279,58,0.279,58,4.952222021529451,58
sparse,30,0.2,16,Dijkstra,710,1419,55,1.419,55,1.057849993230775,55
sparse,30,0.2,16,A*,95,267,55,0.267,55,0.21861802088096738,55
sparse,30,0.2,16,QHR-V2X,95,267,55,0.267,55,4.654199990909547,55
sparse,30,0.2,17,Dijkstra,716,1431,58,1.431,58,1.05490701389499,58
sparse,30,0.2,17,A*,116,301,58,0.301,58,0.24959800066426396,58
sparse,30,0.2,17,QHR-V2X,116,301,58,0.301,58,5.686206015525386,58
sparse,30,0.2,18,Dijkstra,716,1431,58,1.431,58,1.0793349938467145,58
sparse,30,0.2,18,A*,110,295,58,0.295,58,0.2378369972575456,58
sparse,30,0.2,18,QHR-V2X,110,295,58,0.295,58,5.377955996664241,58
sparse,30,0.2,19,Dijkstra,718,1435,58,1.435,58,1.0810429812408984,58
sparse,30,0.2,19,A*,131,343,58,0.343,58,0.3496959980111569,58
sparse,30,0.2,19,QHR-V2X,131,343,58,0.343,58,6.768906023353338,58
sparse,40,0.2,0,Dijkstra,1276,2551,78,2.551,78,1.944113988429308,78
sparse,40,0.2,0,A*,247,648,78,0.648,78,0.5952499923296273,78
sparse,40,0.2,0,QHR-V2X,247,648,78,0.648,78,12.37732099252753,78
sparse,40,0.2,1,Dijkstra,1276,2551,78,2.551,78,1.8624819931574166,78
sparse,40,0.2,1,A*,116,326,78,0.326,78,0.271494995104149,78
sparse,40,0.2,1,QHR-V2X,116,326,78,0.326,78,6.0123490111436695,78
sparse,40,0.2,2,Dijkstra,1276,2551,78,2.551,78,1.9546230032574385,78
sparse,40,0.2,2,A*,185,497,78,0.497,78,0.44616899685934186,78
sparse,40,0.2,2,QHR-V2X,185,497,78,0.497,78,9.315011004218832,78
sparse,40,0.2,3,Dijkstra,1280,2559,78,2.559,78,1.8958600121550262,78
sparse,40,0.2,3,A*,200,528,78,0.528,78,0.47305499901995063,78
sparse,40,0.2,3,QHR-V2X,200,528,78,0.528,78,10.856192995561287,78
sparse,40,0.2,4,Dijkstra,1269,2537,79,2.537,79,2.100853016600013,79
sparse,40,0.2,4,A*,182,476,79,0.47600000000000003,79,0.4706819890998304,79
sparse,40,0.2,4,QHR-V2X,182,476,79,0.47600000000000003,79,9.224451991030946,79
sparse,40,0.2,5,Dijkstra,1277,2553,80,2.553,80,2.0629389910027385,80
sparse,40,0.2,5,A*,756,1848,80,1.848,80,1.8558879964984953,80
sparse,40,0.2,5,QHR-V2X,754,1844,80,1.844,80,39.40533101558685,80
sparse,40,0.2,6,Dijkstra,1272,2543,78,2.543,78,2.0036589994560927,78
sparse,40,0.2,6,A*,104,281,78,0.281,78,0.24068498169071972,78
sparse,40,0.2,6,QHR-V2X,104,281,78,0.281,78,5.112621001899242,78
sparse,40,0.2,7,Dijkstra,1280,2559,78,2.559,78,2.1177120215725154,78
sparse,40,0.2,7,A*,199,520,78,0.52,78,0.44133502524346113,78
sparse,40,0.2,7,QHR-V2X,199,520,78,0.52,78,9.711158985737711,78
sparse,40,0.2,8,Dijkstra,1278,2555,78,2.555,78,1.9537409825716168,78
sparse,40,0.2,8,A*,143,384,78,0.384,78,0.3224170068278909,78
sparse,40,0.2,8,QHR-V2X,143,384,78,0.384,78,7.157492014812306,78
sparse,40,0.2,9,Dijkstra,1273,2545,78,2.545,78,2.016988000832498,78
sparse,40,0.2,9,A*,143,380,78,0.38,78,0.31849098741076887,78
sparse,40,0.2,9,QHR-V2X,143,380,78,0.38,78,7.004468003287911,78
sparse,40,0.2,10,Dijkstra,1273,2545,78,2.545,78,1.9191030005458742,78
sparse,40,0.2,10,A*,191,505,78,0.505,78,0.47050800640136003,78
sparse,40,0.2,10,QHR-V2X,191,505,78,0.505,78,9.519798011751845,78
sparse,40,0.2,11,Dijkstra,1276,2551,79,2.551,79,1.9214200146961957,79
sparse,40,0.2,11,A*,769,1922,79,1.922,79,1.8342799739912152,79
sparse,40,0.2,11,QHR-V2X,758,1905,79,1.905,79,37.962522997986525,79
sparse,40,0.2,12,Dijkstra,1277,2553,78,2.553,78,1.8588789971545339,78
sparse,40,0.2,12,A*,130,363,78,0.363,78,0.3028710198123008,78
sparse,40,0.2,12,QHR-V2X,130,363,78,0.363,78,6.525220000185072,78
sparse,40,0.2,13,Dijkstra,1274,2547,76,2.547,76,1.971844001673162,76
sparse,40,0.2,13,A*,255,695,76,0.6950000000000001,76,0.5953299987595528,76
sparse,40,0.2,13,QHR-V2X,255,695,76,0.6950000000000001,76,12.391783995553851,76
